feature_set,label,split,roc_auc,pr_auc,num_users,experiment_id,model_type,hidden_dim,num_layers,dropout,pooling,feature_group,num_features
gru_h64_l1 max,retention_7d,val,0.6647827030439328,0.47016099941177397,2783,gru_h64_l1,gru,64,1,0.0,max,embedding,64
gru_h64_l1 max,retention_7d,test,0.6853788198845234,0.48411301587856526,2805,gru_h64_l1,gru,64,1,0.0,max,embedding,64
Baseline + gru_h64_l1 max,retention_7d,val,0.657012586060642,0.4678741134923492,2783,gru_h64_l1,gru,64,1,0.0,max,baseline_plus_embedding,79
Baseline + gru_h64_l1 max,retention_7d,test,0.687963968857505,0.47757325444826426,2805,gru_h64_l1,gru,64,1,0.0,max,baseline_plus_embedding,79
gru_h64_l1 max,retention_14d,val,0.7073210008625573,0.36187853532699865,2318,gru_h64_l1,gru,64,1,0.0,max,embedding,64
gru_h64_l1 max,retention_14d,test,0.6908413205537807,0.35118563296995725,2303,gru_h64_l1,gru,64,1,0.0,max,embedding,64
Baseline + gru_h64_l1 max,retention_14d,val,0.7098383353015434,0.3688599202739434,2318,gru_h64_l1,gru,64,1,0.0,max,baseline_plus_embedding,79
Baseline + gru_h64_l1 max,retention_14d,test,0.6947090145962538,0.356712706483053,2303,gru_h64_l1,gru,64,1,0.0,max,baseline_plus_embedding,79
gru_h128_l1_ref max,retention_7d,val,0.6606467370933696,0.47546078433961536,2783,gru_h128_l1_ref,gru,128,1,0.0,max,embedding,128
gru_h128_l1_ref max,retention_7d,test,0.6814413714366185,0.475860680665819,2805,gru_h128_l1_ref,gru,128,1,0.0,max,embedding,128
Baseline + gru_h128_l1_ref max,retention_7d,val,0.6629628533664753,0.4657662777599511,2783,gru_h128_l1_ref,gru,128,1,0.0,max,baseline_plus_embedding,143
Baseline + gru_h128_l1_ref max,retention_7d,test,0.677406476954956,0.4760007148981674,2805,gru_h128_l1_ref,gru,128,1,0.0,max,baseline_plus_embedding,143
gru_h128_l1_ref max,retention_14d,val,0.6898576101858263,0.35182120267423206,2318,gru_h128_l1_ref,gru,128,1,0.0,max,embedding,128
gru_h128_l1_ref max,retention_14d,test,0.6912121781619995,0.357899445887962,2303,gru_h128_l1_ref,gru,128,1,0.0,max,embedding,128
Baseline + gru_h128_l1_ref max,retention_14d,val,0.7001305558743358,0.36986709644811794,2318,gru_h128_l1_ref,gru,128,1,0.0,max,baseline_plus_embedding,143
Baseline + gru_h128_l1_ref max,retention_14d,test,0.6950172273382197,0.360310177315729,2303,gru_h128_l1_ref,gru,128,1,0.0,max,baseline_plus_embedding,143
gru_h256_l1 max,retention_7d,val,0.6671499871772109,0.47484551532239194,2783,gru_h256_l1,gru,256,1,0.0,max,embedding,256
gru_h256_l1 max,retention_7d,test,0.6808786991771782,0.48249358366488415,2805,gru_h256_l1,gru,256,1,0.0,max,embedding,256
Baseline + gru_h256_l1 max,retention_7d,val,0.665325822138052,0.4778374318267271,2783,gru_h256_l1,gru,256,1,0.0,max,baseline_plus_embedding,271
Baseline + gru_h256_l1 max,retention_7d,test,0.6884964642806848,0.4945734914759417,2805,gru_h256_l1,gru,256,1,0.0,max,baseline_plus_embedding,271
