component,model,explained_variance_ratio,cumulative_explained_variance
1,GRU,0.1818772572688881,0.1818772572688881
2,GRU,0.10411657580339459,0.28599383307228265
3,GRU,0.08183657465139851,0.36783040772368114
4,GRU,0.05806568990987412,0.42589609763355524
5,GRU,0.045291305729308666,0.4711874033628639
6,GRU,0.03294008276477995,0.5041274861276439
7,GRU,0.030383945778360212,0.5345114319060041
8,GRU,0.025563755848938052,0.5600751877549421
9,GRU,0.022646369537161936,0.5827215572921041
10,GRU,0.022534825995101856,0.6052563832872059
1,LSTM,0.13912811221226506,0.13912811221226506
2,LSTM,0.10756231841562054,0.2466904306278856
3,LSTM,0.07788539366037067,0.32457582428825626
4,LSTM,0.07217497451459468,0.3967507988028509
5,LSTM,0.045112281523327996,0.44186308032617894
6,LSTM,0.030015770537667137,0.47187885086384607
7,LSTM,0.028271251511289324,0.5001501023751354
8,LSTM,0.027685851763205423,0.5278359541383407
9,LSTM,0.025932950581727565,0.5537689047200682
10,LSTM,0.024114108841753745,0.577883013561822
