feature_set,label,split,roc_auc,pr_auc,num_users,seed,candidate,feature_group,num_features
Baseline,retention_7d,val,0.6472983986309206,0.46169811020944485,2783,11,Baseline,baseline,15
Baseline,retention_7d,test,0.6585132627195365,0.45178402017806135,2805,11,Baseline,baseline,15
Baseline,retention_14d,val,0.7045124453806296,0.34148057491838824,2318,11,Baseline,baseline,15
Baseline,retention_14d,test,0.6762788949445593,0.33401829778591663,2303,11,Baseline,baseline,15
GRU h128 l1 max,retention_7d,val,0.6738911986348661,0.47870258522388465,2783,11,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_7d,test,0.6806152805439878,0.4741872107908951,2805,11,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_7d,val,0.6688255804777968,0.47363226643699274,2783,11,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_7d,test,0.6739964944575211,0.48604507976919986,2805,11,GRU h128 l1 max,baseline_plus_embedding,143
GRU h128 l1 max,retention_14d,val,0.6864888243924772,0.35486540689299106,2318,11,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_14d,test,0.7015736390402807,0.3667021486202954,2303,11,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_14d,val,0.6959522743006068,0.3563161597564824,2318,11,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_14d,test,0.705347365783374,0.36546527052367644,2303,11,GRU h128 l1 max,baseline_plus_embedding,143
GRU h256 l1 max,retention_7d,val,0.6669373014933618,0.4788850119400474,2783,11,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_7d,test,0.6881538314523105,0.4924428946254871,2805,11,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_7d,val,0.6640084038586732,0.4713625002922812,2783,11,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_7d,test,0.6946487667732916,0.5005169142095677,2805,11,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l1 max,retention_14d,val,0.7064880593202456,0.376310922742633,2318,11,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_14d,test,0.7042084821148907,0.3761672372044952,2303,11,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_14d,val,0.7066435417414771,0.3582726773335678,2318,11,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_14d,test,0.7014734072542755,0.3631965898688943,2303,11,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_7d,val,0.667016827444714,0.4756473903298024,2783,11,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_7d,test,0.678441919649144,0.4778564242353805,2805,11,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_7d,val,0.6672387603322087,0.4732240515535297,2783,11,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_7d,test,0.6763666334721468,0.4760645380109714,2805,11,GRU h256 l2 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_14d,val,0.7094348213988235,0.3686055743245803,2318,11,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_14d,test,0.7001453360897074,0.3536384170763052,2303,11,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_14d,val,0.7023517333204998,0.3885861545754429,2318,11,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_14d,test,0.6939472530226148,0.36154245232030957,2303,11,GRU h256 l2 max,baseline_plus_embedding,271
LSTM h128 l1 max,retention_7d,val,0.6696387179183682,0.4650226932520158,2783,11,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_7d,test,0.6928086084454906,0.4933335565056073,2805,11,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_7d,val,0.6674286362470655,0.47359578945032954,2783,11,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_7d,test,0.6860936336934436,0.4825324387676901,2805,11,LSTM h128 l1 max,baseline_plus_embedding,143
