prefix_len,feature_set,label,split,roc_auc,pr_auc,num_users
150,Bag-of-events,retention_14d,test,0.6842347929587169,0.3460876457434896,2303
150,Baseline + GRU mean,retention_14d,test,0.697873833239366,0.36625057546038325,2303
150,Baseline + Random embeddings,retention_14d,test,0.6775530915241497,0.35093454087705955,2303
150,Baseline + Shuffled GRU mean,retention_14d,test,0.6842999436196203,0.34332705897230564,2303
150,Baseline tabular,retention_14d,test,0.6830470462945561,0.34396190097329277,2303
150,GRU mean,retention_14d,test,0.6937129612228278,0.36035176268843144,2303
150,Random embeddings,retention_14d,test,0.49817076990540626,0.1817771247427278,2303
150,Shuffled GRU mean,retention_14d,test,0.682361711457746,0.36053860045523534,2303
150,Bag-of-events,retention_14d,val,0.694928681694166,0.33029201581585604,2318
150,Baseline + GRU mean,retention_14d,val,0.7005291338271752,0.35772611553391753,2318
150,Baseline + Random embeddings,retention_14d,val,0.7018242036770358,0.3498802811210619,2318
150,Baseline + Shuffled GRU mean,retention_14d,val,0.7040583379916361,0.36225788919286345,2318
150,Baseline tabular,retention_14d,val,0.697577435798717,0.34110128695468434,2318
150,GRU mean,retention_14d,val,0.7079700782718253,0.37308315202420783,2318
150,Random embeddings,retention_14d,val,0.5054832233233504,0.18659471293998103,2318
150,Shuffled GRU mean,retention_14d,val,0.7072790452885742,0.36134223826509626,2318
150,Bag-of-events,retention_7d,test,0.6574828494980586,0.4616461865152982,2805
150,Baseline + GRU mean,retention_7d,test,0.6750910334560525,0.4757283962071871,2805
150,Baseline + Random embeddings,retention_7d,test,0.6616177047498341,0.4455672777654148,2805
150,Baseline + Shuffled GRU mean,retention_7d,test,0.6609689027702335,0.4632818382252424,2805
150,Baseline tabular,retention_7d,test,0.6638721658921278,0.46205965541158656,2805
150,GRU mean,retention_7d,test,0.6756040396724806,0.4811765487093785,2805
150,Random embeddings,retention_7d,test,0.510392147987205,0.28184294995896525,2805
150,Shuffled GRU mean,retention_7d,test,0.6649211252942242,0.47241049082498143,2805
150,Bag-of-events,retention_7d,val,0.6546816742617033,0.4664059460424595,2783
150,Baseline + GRU mean,retention_7d,val,0.6667754754295635,0.4759190291708528,2783
150,Baseline + Random embeddings,retention_7d,val,0.6511245832593557,0.46419944893090415,2783
150,Baseline + Shuffled GRU mean,retention_7d,val,0.6581179351364147,0.47002045740798276,2783
150,Baseline tabular,retention_7d,val,0.6503678537610226,0.4636205507778989,2783
150,GRU mean,retention_7d,val,0.6617449966463476,0.47318630903858677,2783
150,Random embeddings,retention_7d,val,0.5099882128977531,0.30752250337149334,2783
150,Shuffled GRU mean,retention_7d,val,0.6657468781440492,0.4719707510058623,2783
