section,metric,value,details
sequence_modeling,GRU_mrr_test,0.888497,next-event prediction
sequence_modeling,GRU_hit10_test,0.992561,next-event prediction
sequence_modeling,LSTM_mrr_test,0.888610,next-event prediction
sequence_modeling,LSTM_hit10_test,0.992658,next-event prediction
sequence_modeling,Markov1_mrr_test,0.815801,next-event prediction
sequence_modeling,Markov1_hit10_test,0.977466,next-event prediction
sequence_modeling,MostPopular_mrr_test,0.451016,next-event prediction
sequence_modeling,MostPopular_hit10_test,0.878082,next-event prediction
downstream_prefix_ablation,best_retention_14d_roc_auc_test,0.693430,prefix_len=50; feature_set=Baseline; num_users=3274
downstream_prefix_ablation,best_retention_14d_pr_auc_test,0.343962,prefix_len=150; feature_set=Baseline; num_users=2303
downstream_prefix_ablation,best_retention_7d_roc_auc_test,0.684630,prefix_len=100; feature_set=Baseline + GRU; num_users=3195
downstream_prefix_ablation,best_retention_7d_pr_auc_test,0.462060,prefix_len=150; feature_set=Baseline; num_users=2805
pooling_ablation,best_retention_14d_roc_auc_test,0.702511,pooling=max; feature_set=GRU max; num_features=128; num_users=2303
pooling_ablation,best_retention_14d_pr_auc_test,0.366277,pooling=max; feature_set=GRU max; num_features=128; num_users=2303
pooling_ablation,best_retention_7d_roc_auc_test,0.682674,pooling=max; feature_set=GRU max; num_features=128; num_users=2805
pooling_ablation,best_retention_7d_pr_auc_test,0.481177,pooling=mean; feature_set=GRU mean; num_features=128; num_users=2805
supervised_vs_reference,best_retention_14d_roc_auc_test,0.697874,mode=baseline_plus_next_event_gru_mean_xgb; num_users=2303
supervised_vs_reference,best_retention_14d_pr_auc_test,0.366251,mode=baseline_plus_next_event_gru_mean_xgb; num_users=2303
supervised_vs_reference,best_retention_7d_roc_auc_test,0.688240,mode=finetuned; num_users=2805
supervised_vs_reference,best_retention_7d_pr_auc_test,0.486162,mode=frozen_head; num_users=2805
capacity_sweep,best_next_event_mrr_test,0.892522,experiment_id=gru_h256_l2_d02; model_type=gru; hidden_dim=256; num_layers=2
capacity_sweep,best_next_event_hit5_test,0.976047,experiment_id=gru_h256_l2_d02; model_type=gru; hidden_dim=256; num_layers=2
capacity_sweep,best_next_event_hit10_test,0.993778,experiment_id=gru_h256_l2_d02; model_type=gru; hidden_dim=256; num_layers=2
capacity_sweep,best_retention_14d_baseline_plus_embedding_roc_auc_test,0.710023,experiment_id=gru_h256_l1; model_type=gru; hidden_dim=256; num_layers=1; pooling=max; num_users=2303
capacity_sweep,best_retention_14d_baseline_plus_embedding_pr_auc_test,0.366211,experiment_id=gru_h256_l1; model_type=gru; hidden_dim=256; num_layers=1; pooling=max; num_users=2303
capacity_sweep,best_retention_14d_embedding_roc_auc_test,0.704364,experiment_id=gru_h256_l1; model_type=gru; hidden_dim=256; num_layers=1; pooling=max; num_users=2303
capacity_sweep,best_retention_14d_embedding_pr_auc_test,0.372302,experiment_id=gru_h128_l2_d02; model_type=gru; hidden_dim=128; num_layers=2; pooling=max; num_users=2303
capacity_sweep,best_retention_7d_baseline_plus_embedding_roc_auc_test,0.690864,experiment_id=lstm_h128_l1_ref; model_type=lstm; hidden_dim=128; num_layers=1; pooling=max; num_users=2805
capacity_sweep,best_retention_7d_baseline_plus_embedding_pr_auc_test,0.494573,experiment_id=gru_h256_l1; model_type=gru; hidden_dim=256; num_layers=1; pooling=max; num_users=2805
capacity_sweep,best_retention_7d_embedding_roc_auc_test,0.688527,experiment_id=lstm_h128_l1_ref; model_type=lstm; hidden_dim=128; num_layers=1; pooling=max; num_users=2805
capacity_sweep,best_retention_7d_embedding_pr_auc_test,0.491090,experiment_id=gru_h256_l2_d02; model_type=gru; hidden_dim=256; num_layers=2; pooling=max; num_users=2805
final_stability,best_retention_14d_baseline_roc_auc_mean_test,0.678765,candidate=Baseline; roc_auc_std=0.002705; pr_auc_mean=0.341181; pr_auc_std=0.004305; num_users=2303
final_stability,best_retention_14d_baseline_plus_embedding_roc_auc_mean_test,0.705074,candidate=GRU h256 l1 max; roc_auc_std=0.003216; pr_auc_mean=0.364406; pr_auc_std=0.003728; num_users=2303
final_stability,best_retention_14d_embedding_roc_auc_mean_test,0.704286,candidate=GRU h256 l1 max; roc_auc_std=0.001192; pr_auc_mean=0.367561; pr_auc_std=0.006857; num_users=2303
final_stability,best_retention_7d_baseline_roc_auc_mean_test,0.660948,candidate=Baseline; roc_auc_std=0.002220; pr_auc_mean=0.455125; pr_auc_std=0.004181; num_users=2805
final_stability,best_retention_7d_baseline_plus_embedding_roc_auc_mean_test,0.692170,candidate=GRU h256 l1 max; roc_auc_std=0.005192; pr_auc_mean=0.497750; pr_auc_std=0.002296; num_users=2805
final_stability,best_retention_7d_embedding_roc_auc_mean_test,0.691736,candidate=LSTM h128 l1 max; roc_auc_std=0.003335; pr_auc_mean=0.488259; pr_auc_std=0.006296; num_users=2805
full_history_aligned,retention_14d_baseline_roc_auc_mean_test,0.923363,roc_auc_std=0.000436; pr_auc_mean=0.493949; pr_auc_std=0.004042; num_users=10260
