feature_set,label,split,roc_auc,pr_auc,num_users,seed
baseline,retention_7d,val,0.9625147785243063,0.8430200585477041,7896,11
baseline,retention_7d,test,0.9697693739014654,0.8649677702679415,7839,11
rnn_embedding,retention_7d,val,0.9101293960470748,0.6651387478914692,7896,11
rnn_embedding,retention_7d,test,0.9089416185470236,0.6651413553316514,7839,11
baseline_plus_rnn_embedding,retention_7d,val,0.9640683865560709,0.8468452285280474,7896,11
baseline_plus_rnn_embedding,retention_7d,test,0.9694892911161807,0.8639356240892143,7839,11
baseline,retention_14d,val,0.9593426623413,0.7369954467135337,7896,11
baseline,retention_14d,test,0.9608169969057805,0.7568778757259313,7839,11
rnn_embedding,retention_14d,val,0.9140679525507832,0.4936894753346745,7896,11
rnn_embedding,retention_14d,test,0.9050766073095635,0.4950871337709765,7839,11
baseline_plus_rnn_embedding,retention_14d,val,0.9598571171012052,0.7293719748641991,7896,11
baseline_plus_rnn_embedding,retention_14d,test,0.9588033476472161,0.7459837185337821,7839,11
baseline,retention_30d,val,0.989375551797926,0.3185691088991756,7896,11
baseline,retention_30d,test,0.9743490221200588,0.3501603654844746,7839,11
rnn_embedding,retention_30d,val,0.9569709847816003,0.13104713016263392,7896,11
rnn_embedding,retention_30d,test,0.9626521460602178,0.1320628798988026,7839,11
baseline_plus_rnn_embedding,retention_30d,val,0.9873928202672573,0.41969202307474457,7896,11
baseline_plus_rnn_embedding,retention_30d,test,0.9804612427930814,0.39079507839592975,7839,11
baseline,retention_7d,val,0.9622424994603207,0.8420172989902625,7896,42
baseline,retention_7d,test,0.9694327453126872,0.8647860999889605,7839,42
rnn_embedding,retention_7d,val,0.9113106086579931,0.6689802607945551,7896,42
rnn_embedding,retention_7d,test,0.9094062412082418,0.6702687219204315,7839,42
baseline_plus_rnn_embedding,retention_7d,val,0.9645269969971777,0.8478025860875821,7896,42
baseline_plus_rnn_embedding,retention_7d,test,0.9695909621421668,0.8660806604230846,7839,42
baseline,retention_14d,val,0.9593184440715755,0.7387176202762404,7896,42
baseline,retention_14d,test,0.9601655571858757,0.7554455226138845,7839,42
rnn_embedding,retention_14d,val,0.9150819397023795,0.5014939051515046,7896,42
rnn_embedding,retention_14d,test,0.9067857430487285,0.4983454080097162,7839,42
baseline_plus_rnn_embedding,retention_14d,val,0.9604190298846109,0.7296246284916552,7896,42
baseline_plus_rnn_embedding,retention_14d,test,0.9603788119588511,0.7526827071831382,7839,42
baseline,retention_30d,val,0.9901574214015293,0.32432391956038553,7896,42
baseline,retention_30d,test,0.9734596977804575,0.3316125860285404,7839,42
rnn_embedding,retention_30d,val,0.9524331482783904,0.11494023382108465,7896,42
rnn_embedding,retention_30d,test,0.96111467008328,0.1349411480106022,7839,42
baseline_plus_rnn_embedding,retention_30d,val,0.9859001601149235,0.44510063812214196,7896,42
baseline_plus_rnn_embedding,retention_30d,test,0.9796284433055734,0.47422357677189875,7839,42
baseline,retention_7d,val,0.9622477124615457,0.8423895850790667,7896,77
baseline,retention_7d,test,0.9693692357402904,0.8641412084675217,7839,77
rnn_embedding,retention_7d,val,0.9105468371451735,0.6702160146879207,7896,77
rnn_embedding,retention_7d,test,0.9074676672209825,0.6684684866584392,7839,77
baseline_plus_rnn_embedding,retention_7d,val,0.9644673816498348,0.8473228317949915,7896,77
baseline_plus_rnn_embedding,retention_7d,test,0.9694150573396733,0.8632921905650766,7839,77
baseline,retention_14d,val,0.9594786760581365,0.7355958711782201,7896,77
baseline,retention_14d,test,0.9602041574911517,0.7530069973606862,7839,77
rnn_embedding,retention_14d,val,0.9160533614102176,0.49159010107286033,7896,77
rnn_embedding,retention_14d,test,0.905223741189242,0.49874711419294465,7839,77
baseline_plus_rnn_embedding,retention_14d,val,0.9596946834537601,0.7307950859878514,7896,77
baseline_plus_rnn_embedding,retention_14d,test,0.9581514313803327,0.7426982675593885,7839,77
baseline,retention_30d,val,0.9885263441423378,0.29690039330992124,7896,77
baseline,retention_30d,test,0.9727927045257565,0.33754123214502346,7839,77
rnn_embedding,retention_30d,val,0.9615499723165787,0.11408700422853886,7896,77
rnn_embedding,retention_30d,test,0.967844895805856,0.1483618908247644,7839,77
baseline_plus_rnn_embedding,retention_30d,val,0.9854213117452526,0.4310556462423146,7896,77
baseline_plus_rnn_embedding,retention_30d,test,0.9790971096958964,0.45273606815907225,7839,77
baseline,retention_7d,val,0.9629354276231589,0.843710332344321,7896,123
baseline,retention_7d,test,0.9693376202294701,0.8648893128739943,7839,123
rnn_embedding,retention_7d,val,0.9096290815961675,0.6630515252674309,7896,123
rnn_embedding,retention_7d,test,0.908056384244055,0.6664053659912564,7839,123
baseline_plus_rnn_embedding,retention_7d,val,0.9647761517223956,0.8505523082266961,7896,123
baseline_plus_rnn_embedding,retention_7d,test,0.969058930197966,0.8634184331684078,7839,123
baseline,retention_14d,val,0.9596917479059148,0.7359975410576568,7896,123
baseline,retention_14d,test,0.9598517510003912,0.7526742797773707,7839,123
rnn_embedding,retention_14d,val,0.9151054240851427,0.4924862266826971,7896,123
rnn_embedding,retention_14d,test,0.9059930071496343,0.500285669455456,7839,123
baseline_plus_rnn_embedding,retention_14d,val,0.9596939495667987,0.7280999152081812,7896,123
baseline_plus_rnn_embedding,retention_14d,test,0.9572898344428141,0.7421736084493774,7839,123
baseline,retention_30d,val,0.9896336809972017,0.3200611944848496,7896,123
baseline,retention_30d,test,0.9744997550589742,0.3573464367138717,7839,123
rnn_embedding,retention_30d,val,0.9529718526942703,0.08620711525198958,7896,123
rnn_embedding,retention_30d,test,0.9652033010513622,0.14418037129290517,7839,123
baseline_plus_rnn_embedding,retention_30d,val,0.9834348392116958,0.422641829568787,7896,123
baseline_plus_rnn_embedding,retention_30d,test,0.9783773599125749,0.47889607893218883,7839,123
baseline,retention_7d,val,0.9626838668973754,0.8437033810630331,7896,202
baseline,retention_7d,test,0.9692000161559439,0.8643497450366047,7839,202
rnn_embedding,retention_7d,val,0.9109473025726161,0.6658193277784789,7896,202
rnn_embedding,retention_7d,test,0.9082360494817564,0.6680380061361266,7839,202
baseline_plus_rnn_embedding,retention_7d,val,0.9641100905658713,0.8481627096415392,7896,202
baseline_plus_rnn_embedding,retention_7d,test,0.9696242489575239,0.8662502799709232,7839,202
baseline,retention_14d,val,0.9601408867262599,0.7368225674478293,7896,202
baseline,retention_14d,test,0.9603995417524253,0.754931106876832,7839,202
rnn_embedding,retention_14d,val,0.9156460541466692,0.4884896338109431,7896,202
rnn_embedding,retention_14d,test,0.9054857228907912,0.49119878212072987,7839,202
baseline_plus_rnn_embedding,retention_14d,val,0.9599329520872112,0.7316417145755482,7896,202
baseline_plus_rnn_embedding,retention_14d,test,0.9586445383665589,0.7457482464129767,7839,202
baseline,retention_30d,val,0.9900601553264399,0.31013791619763825,7896,202
baseline,retention_30d,test,0.9738289934808004,0.3232971476782357,7839,202
rnn_embedding,retention_30d,val,0.9555157346581472,0.0930882777030097,7896,202
rnn_embedding,retention_30d,test,0.9637901797490296,0.19140622136356455,7839,202
baseline_plus_rnn_embedding,retention_30d,val,0.9863453394586021,0.4079880708056927,7896,202
baseline_plus_rnn_embedding,retention_30d,test,0.9782944567961713,0.3909572560260338,7839,202
