label,feature_set,split,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,num_users
retention_14d,baseline,test,0.9602876008671248,0.0003551807606713789,0.754587156470941,0.0017506062578985279,7839
retention_14d,baseline_plus_rnn_embedding,test,0.9586535927591546,0.0011303641660205595,0.7458573096277326,0.0041881716460366826,7839
retention_14d,rnn_embedding,test,0.905712964317592,0.0006937590307143975,0.4967328215099647,0.003626789863347761,7839
retention_14d,baseline,val,0.9595944834206372,0.00033949958613007964,0.736825809334696,0.0012048352788017495,7896
retention_14d,baseline_plus_rnn_embedding,val,0.9599195464187172,0.0002979170005802328,0.729906663825487,0.0013628528740162373,7896
retention_14d,rnn_embedding,val,0.9151909463790385,0.0007468591605468087,0.493549868410536,0.0048400724628114905,7896
retention_30d,baseline,test,0.9737860345932094,0.0006930724462359054,0.3399915536100292,0.01377961415384071,7839
retention_30d,baseline_plus_rnn_embedding,test,0.9791717225006595,0.000905211382283576,0.4375216116570247,0.0437091769488381,7839
retention_30d,rnn_embedding,test,0.9641210385499491,0.002566309073078147,0.15019050227812777,0.02397579244123357,7839
retention_30d,baseline,val,0.9895506307330869,0.0006546990198624422,0.313998506490394,0.010857144869900229,7896
retention_30d,baseline_plus_rnn_embedding,val,0.9856988941595463,0.0014603751205992863,0.4252956415627362,0.013814944864123564,7896
retention_30d,rnn_embedding,val,0.9558883385457975,0.0036677405507199775,0.10787395223345135,0.01812179986927575,7896
retention_7d,baseline,test,0.9694217982679714,0.00021211124762985243,0.8646268273270046,0.0003616313055234579,7839
retention_7d,baseline_plus_rnn_embedding,test,0.9694356979507021,0.00022633528946906748,0.8645954376433412,0.0014546078717178215,7839
retention_7d,rnn_embedding,test,0.9084215921404117,0.0007612057685019486,0.667664387207581,0.0019697430414465393,7839
retention_7d,baseline,val,0.9625248569933413,0.0002960104876290006,0.8429681312048775,0.0007636996880780993,7896
retention_7d,baseline_plus_rnn_embedding,val,0.9643898014982699,0.0002981834801307369,0.8481371328557712,0.001438554030439661,7896
retention_7d,rnn_embedding,val,0.910512645203805,0.0006622700272947508,0.6666411752839709,0.002918437356836905,7896
