feature_set,label,split,roc_auc,pr_auc,num_users,seed
baseline,retention_1d,val,0.9450630619415377,0.8620597637707842,10259,11
baseline,retention_1d,test,0.9435523220217572,0.8631637397939249,10260,11
rnn_embedding,retention_1d,val,0.9637799818124129,0.8947975587327925,10259,11
rnn_embedding,retention_1d,test,0.9598466260081279,0.8830279162727848,10260,11
baseline_plus_rnn_embedding,retention_1d,val,0.9665071077839735,0.905907127481356,10259,11
baseline_plus_rnn_embedding,retention_1d,test,0.9641747548145722,0.901143716273657,10260,11
baseline,retention_7d,val,0.9232901978859775,0.6501311672426581,10259,11
baseline,retention_7d,test,0.9260685900144522,0.6505967324457259,10260,11
rnn_embedding,retention_7d,val,0.9411233334225936,0.6658418871631316,10259,11
rnn_embedding,retention_7d,test,0.9411958197413612,0.6800751134085616,10260,11
baseline_plus_rnn_embedding,retention_7d,val,0.9459061587041855,0.7051201508883128,10259,11
baseline_plus_rnn_embedding,retention_7d,test,0.947061516645713,0.7138275803893693,10260,11
baseline,retention_14d,val,0.9289761129904794,0.5023942526458537,10259,11
baseline,retention_14d,test,0.9235178579026528,0.4941071849729593,10260,11
rnn_embedding,retention_14d,val,0.9403138783025737,0.47791826837423396,10259,11
rnn_embedding,retention_14d,test,0.9326064507675963,0.4959454855384008,10260,11
baseline_plus_rnn_embedding,retention_14d,val,0.9461530638461868,0.5301268450820755,10259,11
baseline_plus_rnn_embedding,retention_14d,test,0.9389699938068199,0.5664899510526906,10260,11
baseline,retention_30d,val,0.9720235869408889,0.11467315166144378,10259,11
baseline,retention_30d,test,0.9717163814180929,0.10786565259981215,10260,11
rnn_embedding,retention_30d,val,0.9623184237019992,0.08283091141738136,10259,11
rnn_embedding,retention_30d,test,0.968421935033182,0.15311284535003328,10260,11
baseline_plus_rnn_embedding,retention_30d,val,0.9725672371638141,0.07776890472210513,10259,11
baseline_plus_rnn_embedding,retention_30d,test,0.9758938176737688,0.19128024052296483,10260,11
baseline,retention_1d,val,0.9449409004626854,0.8614661683989426,10259,42
baseline,retention_1d,test,0.9432565033226477,0.8624463665874785,10260,42
rnn_embedding,retention_1d,val,0.9640199020987584,0.8952330556542154,10259,42
rnn_embedding,retention_1d,test,0.9601092958713339,0.8825737736924607,10260,42
baseline_plus_rnn_embedding,retention_1d,val,0.9666336719341846,0.9066341039879615,10259,42
baseline_plus_rnn_embedding,retention_1d,test,0.9637675409018823,0.8992599770313987,10260,42
baseline,retention_7d,val,0.9233339733476758,0.6491351214366758,10259,42
baseline,retention_7d,test,0.9268654779674363,0.6510449542950318,10260,42
rnn_embedding,retention_7d,val,0.9421085187048465,0.671743273954425,10259,42
rnn_embedding,retention_7d,test,0.9406463083293108,0.675793176807078,10260,42
baseline_plus_rnn_embedding,retention_7d,val,0.9465534847831367,0.70703010296995,10259,42
baseline_plus_rnn_embedding,retention_7d,test,0.9467506088731054,0.7138982045288137,10260,42
baseline,retention_14d,val,0.9299097011090651,0.5060332680748824,10259,42
baseline,retention_14d,test,0.9237238469845561,0.5000378085862901,10260,42
rnn_embedding,retention_14d,val,0.9386652678456731,0.47478327369605544,10259,42
rnn_embedding,retention_14d,test,0.9329824652638247,0.5018466934661884,10260,42
baseline_plus_rnn_embedding,retention_14d,val,0.9449123238984285,0.5317960282070611,10259,42
baseline_plus_rnn_embedding,retention_14d,test,0.9390388819588008,0.5498798926893537,10260,42
baseline,retention_30d,val,0.9724147849848986,0.10546811204081892,10259,42
baseline,retention_30d,test,0.9740048899755501,0.12512833521804706,10260,42
rnn_embedding,retention_30d,val,0.9607737667194016,0.07790417083081926,10259,42
rnn_embedding,retention_30d,test,0.9641830247991617,0.19801130369701933,10260,42
baseline_plus_rnn_embedding,retention_30d,val,0.9747303322306918,0.08996615633939388,10259,42
baseline_plus_rnn_embedding,retention_30d,test,0.9741138665735243,0.31526516128105214,10260,42
baseline,retention_1d,val,0.9448722542132806,0.8618119014800564,10259,77
baseline,retention_1d,test,0.9435635396886599,0.8621502901776853,10260,77
rnn_embedding,retention_1d,val,0.9637520982271404,0.8936936211252456,10259,77
rnn_embedding,retention_1d,test,0.9600015306443468,0.8821779406278649,10260,77
baseline_plus_rnn_embedding,retention_1d,val,0.9664160686371404,0.9059919474844577,10259,77
baseline_plus_rnn_embedding,retention_1d,test,0.9644045531325172,0.9013381769544175,10260,77
baseline,retention_7d,val,0.9238686796921929,0.6482125501537939,10259,77
baseline,retention_7d,test,0.9264129504993371,0.6521453534972609,10260,77
rnn_embedding,retention_7d,val,0.9414329902134779,0.6573639250298781,10259,77
rnn_embedding,retention_7d,test,0.941746873641586,0.6745321709561607,10260,77
baseline_plus_rnn_embedding,retention_7d,val,0.9466841464649084,0.7047589659665088,10259,77
baseline_plus_rnn_embedding,retention_7d,test,0.947929551865731,0.7212204542665718,10260,77
baseline,retention_14d,val,0.9299811587376354,0.5048207012506429,10259,77
baseline,retention_14d,test,0.9237730648676503,0.495018482489059,10260,77
rnn_embedding,retention_14d,val,0.9384707889064932,0.4634610108062161,10259,77
rnn_embedding,retention_14d,test,0.9300547188046419,0.48156473149335494,10260,77
baseline_plus_rnn_embedding,retention_14d,val,0.9469914643372015,0.5365891508816257,10259,77
baseline_plus_rnn_embedding,retention_14d,test,0.9377610742769614,0.5528376529988845,10260,77
baseline,retention_30d,val,0.9728174888537322,0.10335310560614787,10259,77
baseline,retention_30d,test,0.973814879497031,0.11187976156596463,10260,77
rnn_embedding,retention_30d,val,0.9667107723284912,0.08350655855656303,10259,77
rnn_embedding,retention_30d,test,0.9657534055186866,0.2155031835720323,10260,77
baseline_plus_rnn_embedding,retention_30d,val,0.9749949662016396,0.09907527782066684,10259,77
baseline_plus_rnn_embedding,retention_30d,test,0.9754187914774712,0.23476746943480054,10260,77
baseline,retention_1d,val,0.9448929012237908,0.8618102186270739,10259,123
baseline,retention_1d,test,0.9432077757942814,0.8627229145424736,10260,123
rnn_embedding,retention_1d,val,0.9636647026703973,0.8938688832699757,10259,123
rnn_embedding,retention_1d,test,0.9596115339597348,0.8806883807993096,10260,123
baseline_plus_rnn_embedding,retention_1d,val,0.9662700720064491,0.9056460248014564,10259,123
baseline_plus_rnn_embedding,retention_1d,test,0.9637651965355408,0.8996355364173568,10260,123
baseline,retention_7d,val,0.9229993427033711,0.647279248685628,10259,123
baseline,retention_7d,test,0.9263706766828137,0.6501130047796628,10260,123
rnn_embedding,retention_7d,val,0.9414506523303453,0.6616904883623541,10259,123
rnn_embedding,retention_7d,test,0.941087845569169,0.6809336819094297,10260,123
baseline_plus_rnn_embedding,retention_7d,val,0.9465123681347304,0.7052942963264812,10259,123
baseline_plus_rnn_embedding,retention_7d,test,0.9464051879276006,0.7188970206186082,10260,123
baseline,retention_14d,val,0.929572931386403,0.506880801977776,10259,123
baseline,retention_14d,test,0.9229750260187848,0.4907064626687386,10260,123
rnn_embedding,retention_14d,val,0.9396724546453703,0.48038723305709774,10259,123
rnn_embedding,retention_14d,test,0.9314757057827553,0.49604158721414515,10260,123
baseline_plus_rnn_embedding,retention_14d,val,0.9464292596240311,0.539756585488478,10259,123
baseline_plus_rnn_embedding,retention_14d,test,0.9399957181285926,0.5626872449313867,10260,123
baseline,retention_30d,val,0.972268085718395,0.10766628637252884,10259,123
baseline,retention_30d,test,0.973742228431715,0.12480489716967114,10260,123
rnn_embedding,retention_30d,val,0.963399971235438,0.07594924255934817,10259,123
rnn_embedding,retention_30d,test,0.9622326231225986,0.13836643910294094,10260,123
baseline_plus_rnn_embedding,retention_30d,val,0.9731799223356824,0.08080817976272224,10259,123
baseline_plus_rnn_embedding,retention_30d,test,0.9752679008033531,0.2163195112843629,10260,123
baseline,retention_1d,val,0.9449967182386481,0.8617233051253652,10259,202
baseline,retention_1d,test,0.9434846378967374,0.8627208917783618,10260,202
rnn_embedding,retention_1d,val,0.9633562626481917,0.8933277608705773,10259,202
rnn_embedding,retention_1d,test,0.9595091128796764,0.880450519218454,10260,202
baseline_plus_rnn_embedding,retention_1d,val,0.9663684489388802,0.9056573335908481,10259,202
baseline_plus_rnn_embedding,retention_1d,test,0.9642914689668414,0.9009901802756949,10260,202
baseline,retention_7d,val,0.9230807688604346,0.648521792692123,10259,202
baseline,retention_7d,test,0.9268958939061207,0.6516599029217804,10260,202
rnn_embedding,retention_7d,val,0.9418472902989209,0.6649309663971221,10259,202
rnn_embedding,retention_7d,test,0.9418357595226231,0.6773439643002577,10260,202
baseline_plus_rnn_embedding,retention_7d,val,0.9469370186004882,0.7081108198099539,10259,202
baseline_plus_rnn_embedding,retention_7d,test,0.9473113033244189,0.717290000975284,10260,202
baseline,retention_14d,val,0.9297891776930873,0.5078872676496987,10259,202
baseline,retention_14d,test,0.9228269502607281,0.4898738841996635,10260,202
rnn_embedding,retention_14d,val,0.9392728807148261,0.4792642798363189,10259,202
rnn_embedding,retention_14d,test,0.9325698117259791,0.5047893497808696,10260,202
baseline_plus_rnn_embedding,retention_14d,val,0.9456090580796187,0.5393752872094737,10259,202
baseline_plus_rnn_embedding,retention_14d,test,0.938122399387841,0.5504252497105522,10260,202
baseline,retention_30d,val,0.9698691212426291,0.09626469690690928,10259,202
baseline,retention_30d,test,0.9709507509605309,0.11867201251752879,10260,202
rnn_embedding,retention_30d,val,0.9634344887099093,0.07003544593236406,10259,202
rnn_embedding,retention_30d,test,0.9686231225986727,0.24991524237824903,10260,202
baseline_plus_rnn_embedding,retention_30d,val,0.9723745145980153,0.10047288175994826,10259,202
baseline_plus_rnn_embedding,retention_30d,test,0.9780286412853649,0.23279381549724215,10260,202
