label,feature_set,split,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,num_users
retention_14d,baseline,test,0.9233633492068745,0.00043595218639909037,0.49394876458334214,0.004042370039167176,10260
retention_14d,baseline_plus_rnn_embedding,test,0.9387776135118031,0.0008734568966129906,0.5564639982765736,0.007619314908439541,10260
retention_14d,rnn_embedding,test,0.9319378304689595,0.0011934596802473945,0.4960375694985918,0.008941631770876101,10260
retention_14d,baseline,val,0.9296458163833341,0.0004051101595169323,0.5056032583197707,0.0021180083680472344,10259
retention_14d,baseline_plus_rnn_embedding,val,0.9460190339570934,0.0007944742486706659,0.5355287793737429,0.004384879706808281,10259
retention_14d,rnn_embedding,val,0.9392790540829873,0.000750947637830008,0.4751628131539844,0.0068699591361140455,10259
retention_1d,baseline,test,0.9434129557448167,0.00016868090192716708,0.8626408405759849,0.00037584163838538657,10260
retention_1d,baseline_plus_rnn_embedding,test,0.9640807028702708,0.00029822884407245493,0.9004735173905051,0.0009537603939033232,10260
retention_1d,rnn_embedding,test,0.959815619872644,0.0002536569456299952,0.8817837061221748,0.001151608808703941,10260
retention_1d,baseline,val,0.9449531672159885,0.00007794696808986613,0.8617742714804445,0.00021315436908844152,10259
retention_1d,baseline_plus_rnn_embedding,val,0.9664390738601256,0.0001383616380660427,0.905967307469216,0.00040253966157828525,10259
retention_1d,rnn_embedding,val,0.9637145894913802,0.00023967982319628427,0.8941841759305614,0.0007984183381177021,10259
retention_30d,baseline,test,0.9728458260565841,0.001410051928824718,0.11767013181420476,0.0077004811523615595,10260
retention_30d,baseline_plus_rnn_embedding,test,0.9757446035626964,0.0014345552736836293,0.2380852396040845,0.04653010301490065,10260
retention_30d,rnn_embedding,test,0.9658428222144604,0.002746741407847683,0.19098180282005497,0.04562427186726521,10260
retention_30d,baseline,val,0.9718786135481088,0.0011597124461436474,0.10548507051756975,0.006684672565017118,10259
retention_30d,baseline_plus_rnn_embedding,val,0.9735693945059687,0.0012210422765485758,0.08961828008096727,0.010312659280732921,10259
retention_30d,rnn_embedding,val,0.9633274845390478,0.00217962261384715,0.07804526585929518,0.005506781230349202,10259
retention_7d,baseline,test,0.926522717814032,0.0003528959994733272,0.6511119895878924,0.0008117888103986263,10260
retention_7d,baseline_plus_rnn_embedding,test,0.9470916337273139,0.0005785270875932982,0.7170266521557294,0.0032084595857387118,10260
retention_7d,rnn_embedding,test,0.9413025213608102,0.0004924120125625555,0.6777356214762975,0.002733559717043994,10260
retention_7d,baseline,val,0.9233145924979305,0.00033986734901147813,0.6486559760421757,0.001062518151755173,10259
retention_7d,baseline_plus_rnn_embedding,val,0.9465186353374898,0.00038040106338329324,0.7060628671922413,0.0014412866288433296,10259
retention_7d,rnn_embedding,val,0.9415925569940369,0.00038628836206650263,0.6643141081813821,0.0053173196620337196,10259
